match_id,gameweek,datetime,venue,team1_id,team1_name,team1_goals,team2_id,team2_name,team2_goals,duration
2499719,1,2017-08-11 18:45:00,Emirates Stadium,1609,Arsenal,4,1631,Leicester City,3,Regular
2499727,1,2017-08-12 11:30:00,Vicarage Road Stadium,1644,Watford,3,1612,Liverpool,3,Regular
2499726,1,2017-08-12 14:00:00,St. Mary's Stadium,1619,Southampton,0,10531,Swansea City,0,Regular
2499721,1,2017-08-12 14:00:00,Stamford Bridge,1610,Chelsea,2,1646,Burnley,3,Regular
2499728,1,2017-08-12 14:00:00,The Hawthorns,1627,West Bromwich Albion,1,1659,AFC Bournemouth,0,Regular
2499723,1,2017-08-12 14:00:00,Goodison Park,1623,Everton,1,1639,Stoke City,0,Regular
2499722,1,2017-08-12 14:00:00,Selhurst Park,1628,Crystal Palace,0,1673,Huddersfield Town,3,Regular
2499720,1,2017-08-12 16:30:00,The American Express Community Stadium,1651,Brighton & Hove Albion,0,1625,Manchester City,2,Regular
2499725,1,2017-08-13 12:30:00,St. James' Park,1613,Newcastle United,0,1624,Tottenham Hotspur,2,Regular
2499724,1,2017-08-13 15:00:00,Old Trafford,1611,Manchester United,4,1633,West Ham United,0,Regular
2499736,2,2017-08-19 11:30:00,Liberty Stadium,10531,Swansea City,0,1611,Manchester United,4,Regular
2499730,2,2017-08-19 14:00:00,Turf Moor,1646,Burnley,0,1627,West Bromwich Albion,1,Regular
2499729,2,2017-08-19 14:00:00,Vitality Stadium,1659,AFC Bournemouth,0,1644,Watford,2,Regular
2499733,2,2017-08-19 14:00:00,Anfield,1612,Liverpool,1,1628,Crystal Palace,0,Regular
2500036,2,2017-08-19 14:00:00,St. Mary's Stadium,1619,Southampton,3,1633,West Ham United,2,Regular
2499732,2,2017-08-19 14:00:00,King Power Stadium,1631,Leicester City,2,1651,Brighton & Hove Albion,0,Regular
2499735,2,2017-08-19 16:30:00,Bet365 Stadium,1639,Stoke City,1,1609,Arsenal,0,Regular
2499731,2,2017-08-20 12:30:00,The John Smith's Stadium,1673,Huddersfield Town,1,1613,Newcastle United,0,Regular
2499737,2,2017-08-20 15:00:00,Wembley Stadium,1624,Tottenham Hotspur,1,1610,Chelsea,2,Regular
2499734,2,2017-08-21 19:00:00,Etihad Stadium,1625,Manchester City,1,1623,Everton,1,Regular
2499739,3,2017-08-26 11:30:00,Vitality Stadium,1659,AFC Bournemouth,1,1625,Manchester City,2,Regular
2499741,3,2017-08-26 14:00:00,Selhurst Park,1628,Crystal Palace,0,10531,Swansea City,2,Regular
2499747,3,2017-08-26 14:00:00,Vicarage Road Stadium,1644,Watford,0,1651,Brighton & Hove Albion,0,Regular
2499745,3,2017-08-26 14:00:00,St. James' Park,1613,Newcastle United,3,1633,West Ham United,0,Regular
2499742,3,2017-08-26 14:00:00,The John Smith's Stadium,1673,Huddersfield Town,0,1619,Southampton,0,Regular
2499744,3,2017-08-26 16:30:00,Old Trafford,1611,Manchester United,2,1631,Leicester City,0,Regular
2499740,3,2017-08-27 12:30:00,Stamford Bridge,1610,Chelsea,2,1623,Everton,0,Regular
2499748,3,2017-08-27 12:30:00,The Hawthorns,1627,West Bromwich Albion,1,1639,Stoke City,1,Regular
2499743,3,2017-08-27 15:00:00,Anfield,1612,Liverpool,4,1609,Arsenal,0,Regular
2499746,3,2017-08-27 15:00:00,Wembley Stadium,1624,Tottenham Hotspur,1,1646,Burnley,1,Regular
2499754,4,2017-09-09 11:30:00,Etihad Stadium,1625,Manchester City,5,1612,Liverpool,0,Regular
2499755,4,2017-09-09 14:00:00,St. Mary's Stadium,1619,Southampton,0,1644,Watford,2,Regular
2499753,4,2017-09-09 14:00:00,King Power Stadium,1631,Leicester City,1,1610,Chelsea,2,Regular
2499752,4,2017-09-09 14:00:00,Goodison Park,1623,Everton,0,1624,Tottenham Hotspur,3,Regular
2499750,4,2017-09-09 14:00:00,The American Express Community Stadium,1651,Brighton & Hove Albion,3,1627,West Bromwich Albion,1,Regular
2499749,4,2017-09-09 14:00:00,Emirates Stadium,1609,Arsenal,3,1659,AFC Bournemouth,0,Regular
2499756,4,2017-09-09 16:30:00,Bet365 Stadium,1639,Stoke City,2,1611,Manchester United,2,Regular
2499751,4,2017-09-10 12:30:00,Turf Moor,1646,Burnley,1,1628,Crystal Palace,0,Regular
2499757,4,2017-09-10 15:00:00,Liberty Stadium,10531,Swansea City,0,1613,Newcastle United,1,Regular
2499758,4,2017-09-11 19:00:00,London Stadium,1633,West Ham United,2,1673,Huddersfield Town,0,Regular
2499759,5,2017-09-15 19:00:00,Vitality Stadium,1659,AFC Bournemouth,2,1651,Brighton & Hove Albion,1,Regular
2499761,5,2017-09-16 11:30:00,Selhurst Park,1628,Crystal Palace,0,1619,Southampton,1,Regular
2499768,5,2017-09-16 14:00:00,The Hawthorns,1627,West Bromwich Albion,0,1633,West Ham United,0,Regular
2499767,5,2017-09-16 14:00:00,Vicarage Road Stadium,1644,Watford,0,1625,Manchester City,6,Regular
2499765,5,2017-09-16 14:00:00,St. James' Park,1613,Newcastle United,2,1639,Stoke City,1,Regular
2499763,5,2017-09-16 14:00:00,Anfield,1612,Liverpool,1,1646,Burnley,1,Regular
2499762,5,2017-09-16 14:00:00,The John Smith's Stadium,1673,Huddersfield Town,1,1631,Leicester City,1,Regular
2499766,5,2017-09-16 16:30:00,Wembley Stadium,1624,Tottenham Hotspur,0,10531,Swansea City,0,Regular
2499760,5,2017-09-17 12:30:00,Stamford Bridge,1610,Chelsea,0,1609,Arsenal,0,Regular
2499764,5,2017-09-17 15:00:00,Old Trafford,1611,Manchester United,4,1623,Everton,0,Regular
2499778,6,2017-09-23 11:30:00,London Stadium,1633,West Ham United,2,1624,Tottenham Hotspur,3,Regular
2499777,6,2017-09-23 14:00:00,Liberty Stadium,10531,Swansea City,1,1644,Watford,2,Regular
2499776,6,2017-09-23 14:00:00,Bet365 Stadium,1639,Stoke City,0,1610,Chelsea,4,Regular
2499775,6,2017-09-23 14:00:00,St. Mary's Stadium,1619,Southampton,0,1611,Manchester United,1,Regular
2499774,6,2017-09-23 14:00:00,Etihad Stadium,1625,Manchester City,5,1628,Crystal Palace,0,Regular
2499772,6,2017-09-23 14:00:00,Goodison Park,1623,Everton,2,1659,AFC Bournemouth,1,Regular
2499771,6,2017-09-23 14:00:00,Turf Moor,1646,Burnley,0,1673,Huddersfield Town,0,Regular
2499773,6,2017-09-23 16:30:00,King Power Stadium,1631,Leicester City,2,1612,Liverpool,3,Regular
2499770,6,2017-09-24 15:00:00,The American Express Community Stadium,1651,Brighton & Hove Albion,1,1613,Newcastle United,0,Regular
2499769,6,2017-09-25 19:00:00,Emirates Stadium,1609,Arsenal,2,1627,West Bromwich Albion,0,Regular
2499783,7,2017-09-30 11:30:00,The John Smith's Stadium,1673,Huddersfield Town,0,1624,Tottenham Hotspur,4,Regular
2499788,7,2017-09-30 14:00:00,London Stadium,1633,West Ham United,1,10531,Swansea City,0,Regular
2499787,7,2017-09-30 14:00:00,The Hawthorns,1627,West Bromwich Albion,2,1644,Watford,2,Regular
2499786,7,2017-09-30 14:00:00,Bet365 Stadium,1639,Stoke City,2,1619,Southampton,1,Regular
2499784,7,2017-09-30 14:00:00,Old Trafford,1611,Manchester United,4,1628,Crystal Palace,0,Regular
2499779,7,2017-09-30 14:00:00,Vitality Stadium,1659,AFC Bournemouth,0,1631,Leicester City,0,Regular
2499781,7,2017-09-30 16:30:00,Stamford Bridge,1610,Chelsea,0,1625,Manchester City,1,Regular
2499780,7,2017-10-01 11:00:00,Emirates Stadium,1609,Arsenal,2,1651,Brighton & Hove Albion,0,Regular
2499782,7,2017-10-01 13:15:00,Goodison Park,1623,Everton,0,1646,Burnley,1,Regular
2499785,7,2017-10-01 15:30:00,St. James' Park,1613,Newcastle United,1,1612,Liverpool,1,Regular
2499793,8,2017-10-14 11:30:00,Anfield,1612,Liverpool,0,1611,Manchester United,0,Regular
2499796,8,2017-10-14 14:00:00,Liberty Stadium,10531,Swansea City,2,1673,Huddersfield Town,0,Regular
2499794,8,2017-10-14 14:00:00,Etihad Stadium,1625,Manchester City,7,1639,Stoke City,2,Regular
2499791,8,2017-10-14 14:00:00,Selhurst Park,1628,Crystal Palace,2,1610,Chelsea,1,Regular
2499790,8,2017-10-14 14:00:00,Turf Moor,1646,Burnley,1,1633,West Ham United,1,Regular
2499797,8,2017-10-14 14:00:00,Wembley Stadium,1624,Tottenham Hotspur,1,1659,AFC Bournemouth,0,Regular
2499798,8,2017-10-14 16:30:00,Vicarage Road Stadium,1644,Watford,2,1609,Arsenal,1,Regular
2499789,8,2017-10-15 12:30:00,The American Express Community Stadium,1651,Brighton & Hove Albion,1,1623,Everton,1,Regular
2499795,8,2017-10-15 15:00:00,St. Mary's Stadium,1619,Southampton,2,1613,Newcastle United,2,Regular
2499792,8,2017-10-16 19:00:00,King Power Stadium,1631,Leicester City,1,1627,West Bromwich Albion,1,Regular
2499808,9,2017-10-20 19:00:00,London Stadium,1633,West Ham United,0,1651,Brighton & Hove Albion,3,Regular
2499799,9,2017-10-21 11:30:00,Stamford Bridge,1610,Chelsea,4,1644,Watford,2,Regular
2499801,9,2017-10-21 14:00:00,The John Smith's Stadium,1673,Huddersfield Town,2,1611,Manchester United,1,Regular
